Panel A						
	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	recidivism	recidivism	recidivism	recidivism	recidivism	recidivism
						
D	-0.0273***	-0.0591***	0.113	-0.0219***	-0.0643*	0.371
	(0.00403)	(0.0152)	(0.0843)	(0.00558)	(0.0350)	(0.422)
bac1	0.321***	-0.0429	2.902*	0.188	-0.196	6.167
	(0.0748)	(0.187)	(1.637)	(0.201)	(0.383)	(8.120)
Dbac1		0.438**	-4.210**		0.547	-10.52
		(0.204)	(2.111)		(0.449)	(10.61)
bac1sq			-24.72*			-46.06
			(13.74)			(58.75)
Dbac1sq			32.73**			71.27
			(15.10)			(69.21)
male	0.0332***	0.0332***	0.0332***	0.0357***	0.0357***	0.0358***
	(0.00233)	(0.00233)	(0.00233)	(0.00317)	(0.00317)	(0.00317)
white	0.0162***	0.0162***	0.0162***	0.0176***	0.0176***	0.0176***
	(0.00280)	(0.00280)	(0.00280)	(0.00381)	(0.00381)	(0.00381)
aged	-0.000847***	-0.000854***	-0.000854***	-0.000756***	-0.000758***	-0.000758***
	(8.49e-05)	(8.50e-05)	(8.50e-05)	(0.000115)	(0.000115)	(0.000115)
acc	0.00444	0.00421	0.00418	0.00431	0.00422	0.00423
	(0.00345)	(0.00345)	(0.00345)	(0.00497)	(0.00497)	(0.00497)
Constant	0.0853***	0.109***	0.0262	0.0862***	0.113***	-0.104
	(0.00672)	(0.0131)	(0.0473)	(0.0154)	(0.0278)	(0.278)
						
Observations	89,967	89,967	89,967	46,957	46,957	46,957
R-squared	0.004	0.004	0.004	0.004	0.004	0.004
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
